-O0,4,0.881169,1.024
-O0,8,1.13923,1.53754
-O0,16,1.89875,1.96734
-O0,32,2.03156,2.06973
-O0,64,2.09665,2.31986
-O0,128,2.92736,3.64089
-O0,256,3.51981,4.07873
-O0,512,4.05228,4.18976
-O0,1024,3.58138,3.86861
-O0,2048,2.13305,2.22242
-O0,4096,1.51771,1.53211
-O1,4,2.16234,3.12195
-O1,8,5.69812,6.16867
-O1,16,6.7383,8.192
-O1,32,7.8294,8.192
-O1,64,7.52728,8.36772
-O1,128,10.1876,11.6075
-O1,256,6.6518,7.88901
-O1,512,2.79549,2.92371
-O1,1024,2.16484,2.21496
-O1,2048,1.65607,1.6742
-O1,4096,1.26467,1.26779
-O2,4,1.80999,3.12195
-O2,8,5.12258,12.1905
-O2,16,8.23772,9.84615
-O2,32,6.90404,8.192
-O2,64,8.39281,10.0825
-O2,128,9.81097,11.5655
-O2,256,6.57182,7.894
-O2,512,2.81385,2.90867
-O2,1024,2.15786,2.22473
-O2,2048,1.65477,1.66203
-O2,4096,1.26605,1.2689
-O3,4,2.1814,3.12195
-O3,8,4.62403,6.16867
-O3,16,7.06079,8.192
-O3,32,7.85441,8.192
-O3,64,7.25872,8.27893
-O3,128,10.1465,11.5228
-O3,256,6.62094,7.894
-O3,512,2.80946,2.89962
-O3,1024,2.1699,2.22139
-O3,2048,1.65442,1.66456
-O3,4096,1.2659,1.26986
